NAME	ADRESSE	PLZ	STADTTEIL	RECHTSWERT	HOCHWERT	HOMEPAGE
Wurzelkinder	Nünningweg 133	48161	Gievenbeck	400879	5758685	https://wurzelkinderms.wordpress.com/
Brillux	Weseler Straße 567a	48163	Mecklenbeck	402740	5753798	https://www.b-kids.de/
Erphobogen	Bohlweg 53	48147	Uppenberg	406827	5758379	https://www.drk-muenster.de/angebot/kita/erphobogen/index.php
Lummerland	Rilkeweg 43	48161	Gievenbeck	405557	5751092	https://www.drk-muenster.de/angebot/kita/lummerland/index.php
An der Meerwiese	An der Meerwiese 11	48159	Kinderhaus	407277	5760628	https://www.drk-muenster.de/angebot/kita/meerwiese/index.php
Schatzkiste	Wiegandweg 36	48157	Sprakel	408470	5753437	https://www.drk-muenster.de/angebot/kita/schatzkiste/index.php
Wirbelwind	Corrensstraße 84	48149	Gievenbeck	403648	5758664	https://www.drk-muenster.de/angebot/kita/wirbelwind/index.php
Wolkenburg	Lindenbreie 43	48159	Kinderhaus	401532	5757438	https://www.drk-muenster.de/angebot/kita/wolkenburg/index.php
Fliednerhaus	Fehrbellinweg 6	48161	Mecklenbeck	405326	5755597	https://www.ekfh.de/
Ev. Kita Schmittingheide	Schmittingheide 72	48157	Gelmer	408809	5755964	https://www.ev-kita-psh.com/
St. Anna	Dingbängerweg 59	48161	Mecklenbeck	402370	5754243	https://www.kirche-mswest.de/kita-st-anna/
Katholische Kindertageseinrichtung St. Josef	Steinkuhle 2-4	48163	Hiltrup	398813	5753203	https://www.kirche-mswest.de/kita-st-josef/
St. Pantaleon	Pantaleonstraße 2	48151	Geist	399174	5756950	https://www.kirche-mswest.de/kita-st-pantaleon/
St. Stephanus	Stephanuskirchplatz 2	48157	Gelmer	404342	5755759	https://www.kirche-mswest.de/kita-st-stephanus/
St. Ursula	Könemannstraße 19	48159	Sprakel	399330	5756827	https://www.kirche-mswest.de/kita-st-ursula/
Kotenkotten	Schwarzer Kamp 68	48149	Gievenbeck	401515	5753873	https://www.kotenkotten.de/
Uppenberg	Friesenring 15	48147	Uppenberg	404848	5759118	nicht hinterlegt
Kinderbachtal	Idenbrockplatz 8	48159	Kinderhaus	404134	5761481	nicht hinterlegt
Chamäleon	Rudolf-Harbig-Weg 38a	48149	Gievenbeck	403592	5759131	https://www.stw-muenster.de/de/kinder/chamaeleon/info/
Tausendfüssler	Kardinal-von-Galen-Ring 20	48149	Gievenbeck	403944	5757265	https://www.stw-muenster.de/de/kinder/tausendfuessler/info/
Heilig Kreuz	Zuhornstraße 29	48151	Geist	405669	5758737	https://www.xkiga.de/
Landsberger Straße	Landsberger Straße 17	48163	Mecklenbeck	403735	5749177	nicht hinterlegt
Hiltruper Strolche	Hansestraße 83	48163	Hiltrup	405950	5750137	nicht hinterlegt
Die Kleinen Hobbits	An der Hiltruper Baumschule 7a	48163	Hiltrup	406026	5751440	nicht hinterlegt
Alfred-Bernstein-Kita	Petersheide 37	48149	Geist	412390	5751964	nicht hinterlegt
Little Giants Kita Angelmodde	Eichendorffstraße 42	48167	Wolbeck	410321	5752442	nicht hinterlegt
Gustav-Dietrich-Kita	Alt Angelmodde 15	48167	Wolbeck	410546	5753289	nicht hinterlegt
Die Kanalhaie	Nordkirchenweg 100	48155	Wolbeck	403616	5753380	nicht hinterlegt
Kita Waldbach	Middelerstraße 19	48157	Gelmer	412569	5753479	nicht hinterlegt
Kita Albachten Ost	Hohe Geist 7	48163	Albachten	398912	5753551	nicht hinterlegt
Blatt-Werk	Meckmannweg 2	48163	Mecklenbeck	401720	5753785	nicht hinterlegt
Kleine Riesen 	Meyerbeerstraße 12	48155	Wolbeck	402525	5753908	nicht hinterlegt
St. Hilda	Kentweg 1	48161	Nienberge	408116	5753931	nicht hinterlegt
Emil-Stein-Kita	Düesbergweg 102	48151	Geist	404933	5754457	nicht hinterlegt
Kita kleine Wasserwelt	Robert-Bosch-Straße 17	48153	Berg Fidel	406223	5754862	nicht hinterlegt
Julius-Moses-Kita	Dahlweg 118	48153	Berg Fidel	405751	5755189	nicht hinterlegt
Dahlweg / südl. Roddestraße	Dahlweg 101	48153	Berg Fidel	405784	5755517	nicht hinterlegt
Beckstraße	Beckstraße 26	48161	Gievenbeck	403899	5755686	nicht hinterlegt
Hermannschule	Scheibenstraße 35	48155	Wolbeck	405501	5755783	nicht hinterlegt
Nottulner Landweg	Nottulner Landweg 1	48161	Gievenbeck	400074	5756545	nicht hinterlegt
Im Drostebusch	Fliederweg 62	48161	Gievenbeck	408602	5756969	nicht hinterlegt
DRK Kita Hand in Hand	Roxeler Straße 372	48161	Roxel	402054	5757409	nicht hinterlegt
DRK Kita Farbenspiel	Hüfferstraße 19	48149	Kreuzviertel	404500	5757649	nicht hinterlegt
Sonnenstraße	Sonnenstraße 85	48151	Südviertel	406148	5757818	nicht hinterlegt
St. Martini	Stiftsherrenstraße 12	48143	Innenstadt	405879	5758194	nicht hinterlegt
Kita am Emmy-Herzog-Platz	Emmy-Herzog-Platz 2	48155	Wolbeck	407311	5759448	nicht hinterlegt
Grevener Straße	Grevener Straße 123	48147	Rumphorst	404608	5759625	nicht hinterlegt
Zentrum Nord	Anton-Bruchausen-Straße 3	48147	Rumphorst	406317	5760028	nicht hinterlegt
Ermlandweg	Ermlandweg 11	48159	Kinderhaus	404730	5760633	nicht hinterlegt
Provi Dötzchen	Regina-Protmann-Straße 31	48159	Kinderhaus	405088	5760828	nicht hinterlegt
Willingrott	Willingrott 49a	48157	Gelmer	411583	5762371	nicht hinterlegt
Pavillon Westerheide	Westerheide 3a	48161	Gievenbeck	409129	5765119	nicht hinterlegt
St. Maria Magdalena	Holunderweg 80	48155	Wolbeck	404806	5765892	nicht hinterlegt
						
						
						
						
weitere Kitas:						
http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html						
http://www.liebfrauen-ueberwasser.de/kitas.html						
http://www.cvjmmuenster.de/						
http://www.outlaw-ggmbh.de/						
